Id,Time[ns],I²S
339,20855180.00000000000000000000,Left channel: 000030e3
340,20887180.00000000000000000000,Right channel: 00000000
341,20919180.00000000000000000000,Left channel: 00fc48a9
342,20951200.00000000000000000000,Right channel: 00000000
343,20983200.00000000000000000000,Left channel: 00fc5888
344,21015200.00000000000000000000,Right channel: 00000000
345,21047200.00000000000000000000,Left channel: 00fc2c7a
346,21079200.00000000000000000000,Right channel: 00000000
347,21111220.00000000000000000000,Left channel: 00f9b171
348,21143220.00000000000000000000,Right channel: 00000000
349,21175220.00000000000000000000,Left channel: 00fbe420
350,21207220.00000000000000000000,Right channel: 00000000
351,21239240.00000000000000000000,Left channel: 0000a717
352,21271240.00000000000000000000,Right channel: 00000000
353,21303240.00000000000000000000,Left channel: 00060e65
354,21335240.00000000000000000000,Right channel: 00000000
355,21367260.00000000000000000000,Left channel: 0006b802
356,21399260.00000000000000000000,Right channel: 00000000
357,21431260.00000000000000000000,Left channel: 00027b85
358,21463260.00000000000000000000,Right channel: 00000000
359,21495280.00000000000000000000,Left channel: 00fe6bd4
360,21527280.00000000000000000000,Right channel: 00000000
361,21559280.00000000000000000000,Left channel: 00fd0efb
362,21591280.00000000000000000000,Right channel: 00000000
363,21623280.00000000000000000000,Left channel: 000107d2
364,21655300.00000000000000000000,Right channel: 00000000
365,21687300.00000000000000000000,Left channel: 00fe535b
366,21719300.00000000000000000000,Right channel: 00000000
367,21751300.00000000000000000000,Left channel: 00f81e64
368,21783320.00000000000000000000,Right channel: 00000000
369,21815320.00000000000000000000,Left channel: 00f9abc5
370,21847320.00000000000000000000,Right channel: 00000000
371,21879320.00000000000000000000,Left channel: 00fec72f
372,21911340.00000000000000000000,Right channel: 00000000
373,21943340.00000000000000000000,Left channel: 0001cb3a
374,21975340.00000000000000000000,Right channel: 00000000
375,22007340.00000000000000000000,Left channel: 0003713e
376,22039360.00000000000000000000,Right channel: 00000000
377,22071360.00000000000000000000,Left channel: 0001bd0c
378,22103360.00000000000000000000,Right channel: 00000000
379,22135360.00000000000000000000,Left channel: 00016f57
