Id,Time[ns],I²S
515,20562560.00000000000000000000,Right channel: 00ffffff
516,20583040.00000000000000000000,Left channel: 00fe6787
517,20603520.00000000000000000000,Right channel: 00ffffff
518,20624000.00000000000000000000,Left channel: 00011ccb
519,20644480.00000000000000000000,Right channel: 00ffffff
520,20664960.00000000000000000000,Left channel: 00ff357f
521,20685460.00000000000000000000,Right channel: 00ffffff
522,20705940.00000000000000000000,Left channel: 00fe4835
523,20726420.00000000000000000000,Right channel: 00ffffff
524,20746900.00000000000000000000,Left channel: 00ff9ed4
525,20767380.00000000000000000000,Right channel: 00ffffff
526,20787860.00000000000000000000,Left channel: 00ff99d7
527,20808340.00000000000000000000,Right channel: 00ffffff
528,20828820.00000000000000000000,Left channel: 00fd51b2
529,20849320.00000000000000000000,Right channel: 00ffffff
530,20869800.00000000000000000000,Left channel: 0001e635
531,20890280.00000000000000000000,Right channel: 00ffffff
532,20910760.00000000000000000000,Left channel: 0000c598
533,20931240.00000000000000000000,Right channel: 00ffffff
534,20951720.00000000000000000000,Left channel: 00fd43de
535,20972220.00000000000000000000,Right channel: 00ffffff
536,20992700.00000000000000000000,Left channel: 00fe151a
