Id,Time[ns],I²S
513,20521580.00000000000000000000,Right channel: 0000e488
514,20542060.00000000000000000000,Left channel: 0000ed00
515,20562560.00000000000000000000,Right channel: 0000b90f
516,20583040.00000000000000000000,Left channel: 0000a1e8
517,20603520.00000000000000000000,Right channel: 0000c66c
518,20624000.00000000000000000000,Left channel: 0000b62a
519,20644480.00000000000000000000,Right channel: 000027d2
520,20664960.00000000000000000000,Left channel: 00008b1c
521,20685460.00000000000000000000,Right channel: 0000f462
522,20705940.00000000000000000000,Left channel: 000000f5
523,20726420.00000000000000000000,Right channel: 0000cc04
524,20746900.00000000000000000000,Left channel: 00000f51
525,20767380.00000000000000000000,Right channel: 0000fb25
526,20787860.00000000000000000000,Left channel: 0000b883
527,20808340.00000000000000000000,Right channel: 0000fe3e
528,20828820.00000000000000000000,Left channel: 0000b2d8
529,20849320.00000000000000000000,Right channel: 0000a88d
530,20869800.00000000000000000000,Left channel: 0000a9bc
531,20890280.00000000000000000000,Right channel: 00003ce2
532,20910760.00000000000000000000,Left channel: 000087d4
533,20931240.00000000000000000000,Right channel: 0000273a
534,20951720.00000000000000000000,Left channel: 00008115
535,20972220.00000000000000000000,Right channel: 0000b09f
536,20992700.00000000000000000000,Left channel: 0000b27b
537,21013180.00000000000000000000,Right channel: 0000d14e
538,21033660.00000000000000000000,Left channel: 0000dc37
539,21054140.00000000000000000000,Right channel: 0000768e
540,21074620.00000000000000000000,Left channel: 0000a1b6
541,21095100.00000000000000000000,Right channel: 0000827b
542,21115600.00000000000000000000,Left channel: 0000f227
543,21136080.00000000000000000000,Right channel: 000016a1
544,21156560.00000000000000000000,Left channel: 000012c5
545,21177040.00000000000000000000,Right channel: 00008aec
546,21197520.00000000000000000000,Left channel: 00005cbd
547,21218000.00000000000000000000,Right channel: 00005e7f
548,21238500.00000000000000000000,Left channel: 0000b3a9
549,21258980.00000000000000000000,Right channel: 000009af
550,21279460.00000000000000000000,Left channel: 000048ef
551,21299940.00000000000000000000,Right channel: 000054ad
552,21320420.00000000000000000000,Left channel: 0000662f
553,21340900.00000000000000000000,Right channel: 00000a27
554,21361380.00000000000000000000,Left channel: 0000c420
555,21381880.00000000000000000000,Right channel: 0000e686
556,21402360.00000000000000000000,Left channel: 00002e5d
557,21422840.00000000000000000000,Right channel: 00002df6
558,21443320.00000000000000000000,Left channel: 000005e3
559,21463800.00000000000000000000,Right channel: 0000057d
560,21484280.00000000000000000000,Left channel: 0000b3d0
561,21504760.00000000000000000000,Right channel: 00000053
